sample,band_window,raman_shift_cm_inverse,raw_intensity,fitted_background,corrected_intensity,fitted_G_height,normalized_corrected_intensity
dark-1,dg,1357.976,359.042,69.93137435892895,289.110625641071,334.144647584141,0.8652259664529567
dark-1,dg,1359.904,363.1513,69.85596448425511,293.2953355157449,334.144647584141,0.8777496142352248
dark-1,dg,1361.833,345.3452,69.78051549657573,275.56468450342425,334.144647584141,0.824686813018707
dark-1,dg,1363.761,312.9888,69.7051056219019,243.28369437809812,334.144647584141,0.728078980576329
dark-1,dg,1365.69,304.7657,69.62965663422251,235.13604336577748,334.144647584141,0.7036953758373994
dark-1,dg,1367.618,300.2316,69.55424675954868,230.67735324045134,334.144647584141,0.6903517830024928
dark-1,dg,1369.547,293.6828,69.4787977718693,224.2040022281307,334.144647584141,0.6709788824963112
dark-1,dg,1371.475,280.0053,69.40338789719546,210.60191210280453,334.144647584141,0.6302716910938184
dark-1,dg,1373.403,273.1743,69.3279780225216,203.8463219774784,334.144647584141,0.6100541291063112
dark-1,dg,1375.332,263.3562,69.25252903484223,194.1036709651578,334.144647584141,0.5808971425055687
dark-1,dg,1377.26,241.8392,69.17711916016839,172.66208083983162,334.144647584141,0.5167285547985728
dark-1,dg,1379.189,255.6092,69.10167017248901,186.50752982751098,334.144647584141,0.5581640501380364
dark-1,dg,1381.117,243.7406,69.02626029781517,174.71433970218482,334.144647584141,0.5228703825285425
dark-1,dg,1383.046,238.9013,68.95081131013579,169.9504886898642,334.144647584141,0.5086135298548181
dark-1,dg,1384.974,236.1784,68.87540143546195,167.30299856453806,334.144647584141,0.5006903440594824
dark-1,dg,1386.903,228.0762,68.79995244778257,159.27624755221743,334.144647584141,0.4766685586729623
dark-1,dg,1388.831,216.5491,68.72454257310874,147.82455742689126,334.144647584141,0.44239690354359945
dark-1,dg,1390.76,207.723,68.64909358542936,139.07390641457067,334.144647584141,0.4162086911164736
dark-1,dg,1392.688,206.6676,68.57368371075552,138.09391628924448,334.144647584141,0.41327585908576026
dark-1,dg,1394.617,210.7983,68.49823472307614,142.30006527692387,334.144647584141,0.4258636680424195
dark-1,dg,1396.545,208.3065,68.4228248484023,139.88367515159769,334.144647584141,0.4186320988917638
dark-1,dg,1398.474,193.2828,68.34737586072292,124.93542413927709,334.144647584141,0.3738962303976965
dark-1,dg,1400.402,182.9896,68.27196598604908,114.71763401395091,334.144647584141,0.34331728741835926
dark-1,dg,1402.33,193.8253,68.19655611137524,125.62874388862475,334.144647584141,0.375971139435924
dark-1,dg,1404.259,177.4542,68.12110712369586,109.33309287630412,334.144647584141,0.3272028855370875
dark-1,dg,1406.187,175.347,68.04569724902203,107.30130275097798,334.144647584141,0.32112231492188853
dark-1,dg,1408.116,179.6909,67.97024826134265,111.72065173865735,334.144647584141,0.33434817090860314
dark-1,dg,1410.044,187.3564,67.8948383866688,119.46156161333121,334.144647584141,0.3575145149773784
dark-1,dg,1411.973,177.8803,67.81938939898943,110.06091060101058,334.144647584141,0.3293810372147174
dark-1,dg,1413.901,170.7359,67.74397952431558,102.99192047568441,334.144647584141,0.30822555806389207
dark-1,dg,1415.83,167.2588,67.66853053663621,99.5902694633638,334.144647584141,0.29804538299026906
dark-1,dg,1417.758,163.168,67.59312066196236,95.57487933803765,334.144647584141,0.28602846111419733
dark-1,dg,1419.687,166.8605,67.517671674283,99.34282832571701,334.144647584141,0.2973048619631158
dark-1,dg,1421.615,168.838,67.44226179960914,101.39573820039085,334.144647584141,0.303448637988009
dark-1,dg,1423.544,158.8571,67.36681281192976,91.49028718807024,334.144647584141,0.27380443723861253
dark-1,dg,1425.472,155.417,67.29140293725592,88.12559706274408,334.144647584141,0.26373487559920633
dark-1,dg,1427.401,161.1563,67.21595394957654,93.94034605042344,334.144647584141,0.2811367673539296
dark-1,dg,1429.329,165.0947,67.1405440749027,97.95415592509728,334.144647584141,0.2931489599887469
dark-1,dg,1431.257,151.7955,67.06513420022887,84.73036579977114,334.144647584141,0.2535739130115354
dark-1,dg,1433.186,156.5903,66.98968521254949,89.60061478745052,334.144647584141,0.2681491845979313
dark-1,dg,1435.114,161.8049,66.91427533787565,94.89062466212435,334.144647584141,0.283980681265379
dark-1,dg,1437.043,154.2167,66.83882635019627,87.37787364980373,334.144647584141,0.26149715185188205
dark-1,dg,1438.971,149.7871,66.76341647552243,83.02368352447758,334.144647584141,0.2484662978286114
dark-1,dg,1440.9,155.1564,66.68796748784305,88.46843251215694,334.144647584141,0.26476088470003006
dark-1,dg,1442.828,151.6901,66.61255761316922,85.07754238683079,334.144647584141,0.25461291390402235
dark-1,dg,1444.757,139.5316,66.53710862548984,72.99449137451016,334.144647584141,0.2184517750089934
